state,Management,Year,Location,total.coral,total.macroalgae
Shifted,Protected,1994,Cousin Carbonate,59,0.875
Shifted,Protected,2005,Cousin Carbonate,0.375,44.1875
Shifted,Protected,2008,Cousin Carbonate,1.25,35.25
Shifted,Protected,2011,Cousin Carbonate,0.375,49.25
Shifted,Protected,2014,Cousin Carbonate,0.5,55
Shifted,Protected,1994,Cousin Granite,25.25,1.125
Shifted,Protected,2005,Cousin Granite,1,6.375
Shifted,Protected,2008,Cousin Granite,4.375,22
Shifted,Protected,2011,Cousin Granite,2.75,37.25
Shifted,Protected,2014,Cousin Granite,1.375,29.75
Shifted,Protected,1994,Cousin Patch,45,0
Shifted,Protected,2005,Cousin Patch,0.6875,31.25
Shifted,Protected,2008,Cousin Patch,0.5,40.125
Shifted,Protected,2011,Cousin Patch,2.75,26
Shifted,Protected,2014,Cousin Patch,11,23.875
Shifted,Fished,1994,Mahe E Carbonate,41.25,6.5
Shifted,Fished,2005,Mahe E Carbonate,0.625,53.5
Shifted,Fished,2008,Mahe E Carbonate,15.625,2
Shifted,Fished,2011,Mahe E Carbonate,1.875,52.25
Shifted,Fished,2014,Mahe E Carbonate,6.875,6.5
Shifted,Fished,2017,Mahe E Carbonate,0.25,52.5
Shifted,Fished,1994,Mahe E Granite,11,0
Shifted,Fished,2005,Mahe E Granite,5.625,1
Shifted,Fished,2008,Mahe E Granite,6.375,0
Shifted,Fished,2011,Mahe E Granite,1,46
Shifted,Fished,2014,Mahe E Granite,1.875,40.375
Shifted,Fished,2017,Mahe E Granite,0,49.125
Recovering,Fished,1994,Mahe E Patch,22.625,1.125
Recovering,Fished,2005,Mahe E Patch,6.625,0.125
Recovering,Fished,2008,Mahe E Patch,8.25,2.375
Recovering,Fished,2011,Mahe E Patch,12.25,0.125
Recovering,Fished,2014,Mahe E Patch,6.9375,0.375
Recovering,Fished,2017,Mahe E Patch,3.25,18.375
Recovering,Protected,1994,Mahe NW Carbonate,45.75,0
Recovering,Protected,2005,Mahe NW Carbonate,12.125,0
Recovering,Protected,2008,Mahe NW Carbonate,7.75,0
Recovering,Protected,2011,Mahe NW Carbonate,26.75,0
Recovering,Protected,2014,Mahe NW Carbonate,38.125,0
Recovering,Protected,2017,Mahe NW Carbonate,4.5,0
Recovering,Fished,1994,Mahe NW Granite,9.625,0
Recovering,Fished,2005,Mahe NW Granite,11.75,0
Recovering,Fished,2008,Mahe NW Granite,9.25,0
Recovering,Fished,2011,Mahe NW Granite,19,0
Recovering,Fished,2014,Mahe NW Granite,23.625,0
Recovering,Fished,2017,Mahe NW Granite,11.375,0
Recovering,Fished,1994,Mahe NW Patch,19,0
Recovering,Fished,2005,Mahe NW Patch,19.375,0
Recovering,Fished,2008,Mahe NW Patch,8.625,0
Recovering,Fished,2011,Mahe NW Patch,21.25,0
Recovering,Fished,2014,Mahe NW Patch,25.625,0
Recovering,Fished,2017,Mahe NW Patch,13.875,0
Recovering,Fished,1994,Mahe W Carbonate,35.5,0
Recovering,Fished,2005,Mahe W Carbonate,15.375,0
Recovering,Fished,2008,Mahe W Carbonate,14.625,0
Recovering,Fished,2011,Mahe W Carbonate,23.875,0
Recovering,Fished,2014,Mahe W Carbonate,38.125,0
Recovering,Fished,2017,Mahe W Carbonate,10.125,0.125
Recovering,Fished,1994,Mahe W Granite,14.875,0
Recovering,Fished,2005,Mahe W Granite,16.125,0
Recovering,Fished,2008,Mahe W Granite,16.125,0
Recovering,Fished,2011,Mahe W Granite,32.375,0
Recovering,Fished,2014,Mahe W Granite,36,0
Recovering,Fished,2017,Mahe W Granite,12.5,0
Recovering,Fished,1994,Mahe W Patch,21.25,0
Recovering,Fished,2005,Mahe W Patch,24,0
Recovering,Fished,2008,Mahe W Patch,13.5,0
Recovering,Fished,2011,Mahe W Patch,47.5,0
Recovering,Fished,2014,Mahe W Patch,32.5,0
Recovering,Fished,2017,Mahe W Patch,8.5,0
Shifted,Fished,1994,Praslin NE Carbonate,39,0
Shifted,Fished,2005,Praslin NE Carbonate,0.625,0.25
Shifted,Fished,2008,Praslin NE Carbonate,4.25,15.375
Shifted,Fished,2011,Praslin NE Carbonate,1,53.125
Shifted,Fished,2014,Praslin NE Carbonate,0.375,46
Shifted,Fished,2017,Praslin NE Carbonate,0.625,33
Recovering,Protected,1994,Praslin NE Granite,16.375,0
Recovering,Protected,2005,Praslin NE Granite,3.125,0
Recovering,Protected,2008,Praslin NE Granite,36.125,0
Recovering,Protected,2011,Praslin NE Granite,23.75,0.125
Recovering,Protected,2014,Praslin NE Granite,22.625,0.125
Recovering,Protected,2017,Praslin NE Granite,8.125,1.125
Recovering,Protected,1994,Praslin NE Patch,26.875,0
Recovering,Protected,2005,Praslin NE Patch,3.25,0
Recovering,Protected,2008,Praslin NE Patch,7.25,0
Recovering,Protected,2011,Praslin NE Patch,10.125,0
Recovering,Protected,2014,Praslin NE Patch,9.375,0
Recovering,Protected,2017,Praslin NE Patch,6.875,0
Shifted,Fished,1994,Praslin SW Carbonate,47.125,0
Shifted,Fished,2005,Praslin SW Carbonate,0.5,39.8125
Shifted,Fished,2008,Praslin SW Carbonate,0.25,67.25
Shifted,Fished,2011,Praslin SW Carbonate,0.375,77.625
Shifted,Fished,2014,Praslin SW Carbonate,4.25,48.25
Shifted,Fished,2017,Praslin SW Carbonate,1.25,66
Recovering,Fished,1994,Praslin SW Granite,19.25,0
Recovering,Fished,2005,Praslin SW Granite,3.75,0
Recovering,Fished,2008,Praslin SW Granite,22.75,0
Recovering,Fished,2011,Praslin SW Granite,17.5,0
Recovering,Fished,2014,Praslin SW Granite,32.625,0.375
Recovering,Fished,2017,Praslin SW Granite,9.125,1.75
Shifted,Fished,1994,Praslin SW Patch,12,7.375
Shifted,Fished,2005,Praslin SW Patch,1.75,3.375
Shifted,Fished,2008,Praslin SW Patch,2.625,5.25
Shifted,Fished,2011,Praslin SW Patch,3.375,14.5
Shifted,Fished,2014,Praslin SW Patch,11.375,11.875
Shifted,Fished,2017,Praslin SW Patch,6.625,2.75
Shifted,Protected,1994,Ste Anne Carbonate,47,2.875
Shifted,Protected,2005,Ste Anne Carbonate,14.375,3.75
Shifted,Protected,2008,Ste Anne Carbonate,21.375,13.875
