state,Management,Year,Location,biomass.kgha,prod_yr_kgha,prod_yr_F0.2
Shifted,Protected,1994,Cousin Carbonate,593.3100676,171.7290997,171.7290997
Shifted,Protected,2005,Cousin Carbonate,915.5258152,194.6467158,194.6467158
Shifted,Protected,2008,Cousin Carbonate,717.7932861,195.324258,195.324258
Shifted,Protected,2011,Cousin Carbonate,747.7032629,236.248645,236.248645
Shifted,Protected,2014,Cousin Carbonate,683.434743,256.2670308,256.2670308
Shifted,Protected,1994,Cousin Granite,607.2821982,181.831425,181.831425
Shifted,Protected,2005,Cousin Granite,383.7958878,96.11617921,96.11617921
Shifted,Protected,2008,Cousin Granite,680.3316443,180.625517,180.625517
Shifted,Protected,2011,Cousin Granite,710.6740135,222.6179651,222.6179651
Shifted,Protected,2014,Cousin Granite,661.6639146,228.36607,228.36607
Shifted,Protected,1994,Cousin Patch,800.3756846,192.0480033,192.0480033
Shifted,Protected,2005,Cousin Patch,343.0063019,95.30115046,95.30115046
Shifted,Protected,2008,Cousin Patch,639.0485609,201.6517461,201.6517461
Shifted,Protected,2011,Cousin Patch,1176.311364,391.3019757,391.3019757
Shifted,Protected,2014,Cousin Patch,865.3579691,310.2172954,310.2172954
Shifted,Fished,1994,Mahe E Carbonate,352.0670618,121.2768454,115.6140356
Shifted,Fished,2005,Mahe E Carbonate,292.0542197,86.56228385,84.33542445
Shifted,Fished,2008,Mahe E Carbonate,530.6799661,182.3008158,175.1173217
Shifted,Fished,2011,Mahe E Carbonate,268.0317835,92.67723454,89.02366506
Shifted,Fished,2014,Mahe E Carbonate,290.9362131,110.8743313,107.0867514
Shifted,Fished,2017,Mahe E Carbonate,417.7863443,147.3276171,139.2794176
Shifted,Fished,1994,Mahe E Granite,244.8749242,84.95039218,81.88307509
Shifted,Fished,2005,Mahe E Granite,266.0665836,71.53251636,68.66368983
Shifted,Fished,2008,Mahe E Granite,447.966275,130.6986039,124.8970502
Shifted,Fished,2011,Mahe E Granite,400.5116118,145.3714564,139.7819206
Shifted,Fished,2014,Mahe E Granite,359.245955,126.3759227,121.4558238
Shifted,Fished,2017,Mahe E Granite,279.1416194,94.30587834,89.70862423
Recovering,Fished,1994,Mahe E Patch,390.2612879,133.9361122,128.247469
Recovering,Fished,2005,Mahe E Patch,254.4431186,76.43425396,73.80296159
Recovering,Fished,2008,Mahe E Patch,517.6466671,169.9884365,161.6832266
Recovering,Fished,2011,Mahe E Patch,611.7378534,230.3839825,218.6997314
Recovering,Fished,2014,Mahe E Patch,425.3149583,130.9974341,125.5785869
Recovering,Fished,2017,Mahe E Patch,542.5071445,200.8385878,189.8854634
Recovering,Protected,1994,Mahe NW Carbonate,361.3226884,132.0706665,132.0706665
Recovering,Protected,2005,Mahe NW Carbonate,393.8818288,98.10335479,98.10335479
Recovering,Protected,2008,Mahe NW Carbonate,293.421456,93.65624344,93.65624344
Recovering,Protected,2011,Mahe NW Carbonate,734.8926658,139.5045893,139.5045893
Recovering,Protected,2014,Mahe NW Carbonate,506.9362066,143.7627302,143.7627302
Recovering,Protected,2017,Mahe NW Carbonate,706.0425462,286.72431,286.72431
Recovering,Fished,1994,Mahe NW Granite,342.5158876,115.9598955,113.3396052
Recovering,Fished,2005,Mahe NW Granite,376.6467219,85.43599768,80.8329788
Recovering,Fished,2008,Mahe NW Granite,684.9945118,161.7019378,154.5477344
Recovering,Fished,2011,Mahe NW Granite,614.1756384,184.394473,174.4472825
Recovering,Fished,2014,Mahe NW Granite,450.126057,141.1249629,134.5660417
Recovering,Fished,2017,Mahe NW Granite,689.5937498,216.4742838,203.8540396
Recovering,Fished,1994,Mahe NW Patch,151.0258851,51.60723421,50.6280937
Recovering,Fished,2005,Mahe NW Patch,129.0441702,32.13944694,30.70982269
Recovering,Fished,2008,Mahe NW Patch,174.6218287,54.36386885,52.49997139
Recovering,Fished,2011,Mahe NW Patch,272.9163873,92.08221366,89.45889324
Recovering,Fished,2014,Mahe NW Patch,295.7118054,109.2145164,106.0907146
Recovering,Fished,2017,Mahe NW Patch,461.6906283,145.9630591,139.7854836
Recovering,Fished,1994,Mahe W Carbonate,308.3647215,65.02279408,62.03413146
Recovering,Fished,2005,Mahe W Carbonate,293.5229881,57.60514279,55.33788266
Recovering,Fished,2008,Mahe W Carbonate,480.5545307,114.6385158,108.942595
Recovering,Fished,2011,Mahe W Carbonate,1023.316884,243.365106,228.8941324
Recovering,Fished,2014,Mahe W Carbonate,661.6822093,191.7534379,180.5519334
Recovering,Fished,2017,Mahe W Carbonate,556.9571262,215.4837815,209.8786039
Recovering,Fished,1994,Mahe W Granite,284.3596785,83.40521077,79.99536128
Recovering,Fished,2005,Mahe W Granite,241.7376329,72.90084723,71.03240048
Recovering,Fished,2008,Mahe W Granite,381.9211742,101.2625144,95.8248434
Recovering,Fished,2011,Mahe W Granite,477.8762817,124.1340685,118.5757376
Recovering,Fished,2014,Mahe W Granite,495.6284529,119.5796193,114.4586717
Recovering,Fished,2017,Mahe W Granite,467.5995354,151.3233487,145.7378186
Recovering,Fished,1994,Mahe W Patch,323.4356741,87.71820628,82.74970244
Recovering,Fished,2005,Mahe W Patch,160.5166789,39.41447994,38.38402207
Recovering,Fished,2008,Mahe W Patch,262.6085147,81.61096075,80.33123776
Recovering,Fished,2011,Mahe W Patch,350.7816656,125.5240763,123.229053
Recovering,Fished,2014,Mahe W Patch,334.4968178,124.7474214,122.2798069
Recovering,Fished,2017,Mahe W Patch,520.0524228,196.327748,190.4293036
Shifted,Fished,1994,Praslin NE Carbonate,363.1455102,131.6555828,125.5853387
