"state","Management","Year","Diet","Location","biomass.kgha","prod_yr_kgha","prod_yr_F0.2","net.turn","net.turnF"
"Shifted","Protected",1994,"FisCep","Cousin Carbonate",147.537646,42.006719,42.006719,28.47186472,28.47186472
"Shifted","Protected",2005,"FisCep","Cousin Carbonate",125.2933828,9.006234018,9.006234018,7.188116256,7.188116256
"Shifted","Protected",2008,"FisCep","Cousin Carbonate",25.21192492,9.940575185,9.940575185,39.42806913,39.42806913
"Shifted","Protected",2011,"FisCep","Cousin Carbonate",51.38505411,11.61363314,11.61363314,22.60118889,22.60118889
"Shifted","Protected",2014,"FisCep","Cousin Carbonate",29.3905781,10.23678825,10.23678825,34.83016978,34.83016978
"Shifted","Protected",1994,"HerDet","Cousin Carbonate",210.8995056,64.03184755,64.03184755,30.36130756,30.36130756
"Shifted","Protected",2005,"HerDet","Cousin Carbonate",485.0080948,115.7072749,115.7072749,23.85677191,23.85677191
"Shifted","Protected",2008,"HerDet","Cousin Carbonate",238.4489432,53.60620047,53.60620047,22.48120699,22.48120699
"Shifted","Protected",2011,"HerDet","Cousin Carbonate",394.7497487,101.965005,101.965005,25.83029005,25.83029005
"Shifted","Protected",2014,"HerDet","Cousin Carbonate",284.8286976,70.53994807,70.53994807,24.76574469,24.76574469
"Shifted","Protected",1994,"HerMac","Cousin Carbonate",4.978991091,5.227634963,5.227634963,104.9938606,104.9938606
"Shifted","Protected",2005,"HerMac","Cousin Carbonate",205.2502826,28.61991546,28.61991546,13.94391038,13.94391038
"Shifted","Protected",2008,"HerMac","Cousin Carbonate",335.3578377,87.41423377,87.41423377,26.0659582,26.0659582
"Shifted","Protected",2011,"HerMac","Cousin Carbonate",129.7776611,53.97416436,53.97416436,41.58971884,41.58971884
"Shifted","Protected",2014,"HerMac","Cousin Carbonate",241.242041,120.4983129,120.4983129,49.94913508,49.94913508
"Shifted","Protected",1994,"InvMob","Cousin Carbonate",126.1013305,36.02198881,36.02198881,28.56590701,28.56590701
"Shifted","Protected",2005,"InvMob","Cousin Carbonate",97.84481238,39.91231398,39.91231398,40.79144618,40.79144618
"Shifted","Protected",2008,"InvMob","Cousin Carbonate",92.54848229,34.94046292,34.94046292,37.75368547,37.75368547
