"Location","state","Management","Year","Diet","abundance.500m2","biomass.kgha","prod_yr_F0.2","depthS","str.complexS","total.coralS","total.deadS","macroalgaeS","habitat"
"Cousin Carbonate","Shifted","Protected","1994","FisCep",9.744180189,147.53764604925,42.0067189973356,-0.11205010818878,1.14113326280519,3.23783988978099,NA,-0.555757909063186,"Carbonate"
"Cousin Carbonate","Shifted","Protected","1994","HerDet",48.314893437125,210.899505640375,64.0318475537801,-0.11205010818878,1.14113326280519,3.23783988978099,NA,-0.555757909063186,"Carbonate"
"Cousin Carbonate","Shifted","Protected","1994","HerMac",6.902127633875,4.978991090875,5.22763496347764,-0.11205010818878,1.14113326280519,3.23783988978099,NA,-0.555757909063186,"Carbonate"
"Cousin Carbonate","Shifted","Protected","1994","InvMob",43.8488108505,126.10133051575,36.0219888125236,-0.11205010818878,1.14113326280519,3.23783988978099,NA,-0.555757909063186,"Carbonate"
"Cousin Carbonate","Shifted","Protected","1994","InvSes",26.390488011875,28.68080913775,5.39709573826066,-0.11205010818878,1.14113326280519,3.23783988978099,NA,-0.555757909063186,"Carbonate"
"Cousin Carbonate","Shifted","Protected","1994","Omnivr",30.04455558275,46.22224622,7.91960862641257,-0.11205010818878,1.14113326280519,3.23783988978099,NA,-0.555757909063186,"Carbonate"
"Cousin Carbonate","Shifted","Protected","1994","Plktiv",51.15694599225,28.8895389595,11.1242050219172,-0.11205010818878,1.14113326280519,3.23783988978099,NA,-0.555757909063186,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2005","FisCep",0.81201501575,125.29338282125,9.00623401788294,-0.618174749414371,-0.19165620971743,-1.03633104206789,-0.138982905430861,1.70285982768884,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2005","HerDet",61.713141197,485.008094819125,115.707274928132,-0.618174749414371,-0.19165620971743,-1.03633104206789,-0.138982905430861,1.70285982768884,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2005","HerMac",17.05231533075,205.250282637625,28.6199154567056,-0.618174749414371,-0.19165620971743,-1.03633104206789,-0.138982905430861,1.70285982768884,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2005","InvMob",36.54067570875,97.844812379625,39.9123139783623,-0.618174749414371,-0.19165620971743,-1.03633104206789,-0.138982905430861,1.70285982768884,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2005","InvSes",1.218022523625,1.178002675125,0.736159975611453,-0.618174749414371,-0.19165620971743,-1.03633104206789,-0.138982905430861,1.70285982768884,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2005","Omnivr",0.406007507875,0.951239862375,0.664817488612566,-0.618174749414371,-0.19165620971743,-1.03633104206789,-0.138982905430861,1.70285982768884,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2005","Plktiv",0,0,0,-0.618174749414371,-0.19165620971743,-1.03633104206789,-0.138982905430861,1.70285982768884,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2008","FisCep",3.248060063,25.211924915125,9.9405751851086,-1.45133377420111,0.391439184511217,-0.972537446070144,-0.507043162526657,1.23679585026382,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2008","HerDet",29.232540567,238.4489431505,53.6062004709093,-1.45133377420111,0.391439184511217,-0.972537446070144,-0.507043162526657,1.23679585026382,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2008","HerMac",25.578472996125,335.357837664375,87.4142337720787,-1.45133377420111,0.391439184511217,-0.972537446070144,-0.507043162526657,1.23679585026382,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2008","InvMob",35.322653185125,92.548482294875,34.9404629172027,-1.45133377420111,0.391439184511217,-0.972537446070144,-0.507043162526657,1.23679585026382,"Carbonate"
