Location,Year,Habitat,count,Family,species,Length,a,b,lat,lon,Management
Cousin Carbonate,1994,Carbonate,1,Acanthuridae,Acanthurus leucosternon,23,0.1317,2.392,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Acanthuridae,Acanthurus triostegus,17,0.1317,2.392,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Acanthuridae,Acanthurus triostegus,18,0.1317,2.392,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Acanthuridae,Ctenochaetus truncatus,14,0.0254,3.027,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Acanthuridae,Ctenochaetus truncatus,15,0.0254,3.027,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Acanthuridae,Ctenochaetus truncatus,15,0.0254,3.027,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Acanthuridae,Ctenochaetus truncatus,16,0.0254,3.027,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Labridae,Anampses meleagrides,13,0.0105,3,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Labridae,Gomphosus caeruleus,15,0.0177,3,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Labridae,Gomphosus caeruleus,15,0.0177,3,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Labridae,Gomphosus caeruleus,16,0.0177,3,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Labridae,Gomphosus caeruleus,23,0.0177,3,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Labridae,Labrichthys unilineatus,10,0.0257,3,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Labridae,Labrichthys unilineatus,10,0.0257,3,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Labridae,Labrichthys unilineatus,10,0.0257,3,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Labridae,Labrichthys unilineatus,11,0.0257,3,-4.332921,55.658746,Protected
Cousin Carbonate,1994,Carbonate,1,Labridae,Labroides bicolor,15,0.0076,3.105,-4.332921,55.658746,Protected
